,Company_link,company_name,flag
1356,/company/ENERGYDEV,ENERGYDEV,1
1357,/company/ENGINERSIN,ENGINERSIN,1
1361,/company/ENIL,ENIL,1
1362,/company/KIRLOSELEC,KIRLOSELEC,1
1365,/company/EPIGRAL,EPIGRAL,1
1366,/company/EPL,EPL,1
1368,/company/EQUIPPP,EQUIPPP,1
1369,/company/EQUITASBNK,EQUITASBNK,1
1371,/company/ERIS,ERIS,1
1372,/company/EROSMEDIA,EROSMEDIA,1
1375,/company/ESABINDIA,ESABINDIA,1
1376,/company/ESAFSFB,ESAFSFB,1
1378,/company/ESCORTS,ESCORTS,1
1385,/company/ESSARSHPNG,ESSARSHPNG,1
1386,/company/ESFL,ESFL,1
1387,/company/ESTER,ESTER,1
1390,/company/ETHOSLTD,ETHOSLTD,1
1396,/company/EIFFL,EIFFL,1
1398,/company/EUROBOND,EUROBOND,1
1399,/company/EUROTEXIND,EUROTEXIND,1
1401,/company/EVEREADY,EVEREADY,1
1402,/company/EVERESTIND,EVERESTIND,1
1403,/company/EKC,EKC,1
1410,/company/EXCELINDUS,EXCELINDUS,1
1411,/company/EXCEL,EXCEL,1
1417,/company/EXIDEIND,EXIDEIND,1
1418,/company/EXPLEOSOL,EXPLEOSOL,1
1421,/company/EXXARO,EXXARO,1
1426,/company/FAIRCHEMOR,FAIRCHEMOR,1
1433,/company/FAZE3Q,FAZE3Q,1
1434,/company/FCSSOFT,FCSSOFT,1
1435,/company/FDC,FDC,1
1436,/company/FEDFINA,FEDFINA,1
1437,/company/FMGOETZE,FMGOETZE,1
1439,/company/FELIX,FELIX,1
1442,/company/FGPIND,FGPIND,1
1444,/company/FIBERWEB,FIBERWEB,1
1445,/company/FIDEL,FIDEL,1
1446,/company/FIEMIND,FIEMIND,1
1448,/company/FILATEX,FILATEX,1
1452,/company/FINEORG,FINEORG,1
1455,/company/FCL,FCL,1
1457,/company/FINOPB,FINOPB,1
1458,/company/FINCABLES,FINCABLES,1
1459,/company/FINPIPE,FINPIPE,1
1462,/company/FSL,FSL,1
1465,/company/FIVESTAR,FIVESTAR,1
1466,/company/FLAIR,FLAIR,1
1468,/company/FLEXITUFF,FLEXITUFF,1
1475,/company/FOCE,FOCE,1
1478,/company/FOCUS,FOCUS,1
1480,/company/FOODSIN,FOODSIN,1
1481,/company/FORBESGOK,FORBESGOK,1
1482,/company/FORCEMOT,FORCEMOT,1
1484,/company/FORTIS,FORTIS,1
1489,/company/FOSECOIND,FOSECOIND,1
1504,/company/FROG,FROG,1
1510,/company/NYKAA,NYKAA,1
1515,/company/FUSION,FUSION,1
1516,/company/FCONSUMER,FCONSUMER,1
1517,/company/FEL,FEL,1
1518,/company/FELDVR,FELDVR,1
1519,/company/FLFL,FLFL,1
1520,/company/FMNL,FMNL,1
1521,/company/FRETAIL,FRETAIL,1
1522,/company/FSC,FSC,1
1525,/company/GTECJAINX,GTECJAINX,1
1528,/company/GABRIEL,GABRIEL,1
1529,/company/GATECH,GATECH,1
1530,/company/GATECHDVR,GATECHDVR,1
1537,/company/GAIL,GAIL,1
1542,/company/GALPOWTEL,GALPOWTEL,1
1546,/company/GALAXYSURF,GALAXYSURF,1
1548,/company/GALLANTT,GALLANTT,1
1550,/company/GANDHAR,GANDHAR,1
1551,/company/GANDHITUBE,GANDHITUBE,1
1552,/company/GANESHBE,GANESHBE,1
1555,/company/GANESHHOUC,GANESHHOUC,1
1556,/company/GANECOS,GANECOS,1
1559,/company/GANGAFORGE,GANGAFORGE,1
1563,/company/GANGESSECU,GANGESSECU,1
1564,/company/GANGOTRI,GANGOTRI,1
1569,/company/GRSE,GRSE,1
1576,/company/GRWRHITECH,GRWRHITECH,1
1579,/company/GARFIBRES,GARFIBRES,1
1580,/company/GATEWAY,GATEWAY,1
